codigo,codigo_barra,descricao,desc_unidade
173,173,QJ PADRAO LIGHT 500G MARÍLIA ,UNIDADE
75,75,QJ PADRAO FRAÇÃO 500g ,Quilograma
169,169,REQ COPO CHEDDAR 200g ENTRE RIOS,UNIDADE
208,208,MUSS BOLA PARM TEMP 400g,Quilograma
196,196,QJ PRATO ESFERICO 140G CRUZILIA ,UNIDADE
86,86,QJ AZUL DE MINAS FRAÇÃO 180G CRUZILIA ,Quilograma
81,81,QJ ESTEPE FRAÇÃO CRUZILIA 140g ,UNIDADE
158,158,DOCE DE LEITE PASTOSO BALDE 9.8KG SOUVENIR ,UNIDADE
150,150,MUSS PARMURICO NOZINHO 400g ,Quilograma
144,144,QJ PARMESAO CAPA PRETA 6KG ,Quilograma
38,38,MUSS PALITO  PARM TEMP 400g ,Quilograma
200,200,BALDE 3kg MANTEIGA SALDANHA,UNIDADE
199,199,DOCE DE LEITE POTE 400G Souvenir,UNIDADE
67,67,QJ COALHO NO ESPETO 400g ,Quilograma
46,46,MUSS LANCHE PUROLEITE 500g ,Quilograma
48,48,MUSS PALITO PUROLEITE 400g ,Quilograma
175,175,MANTEIGA 500g SEM SAL SALDANHA,UNIDADE
209,209,REQUEIJAO ALEGRETTE RAPA 500G,Quilograma
10,10,REQUEIJAO CABEÇA DANTA CULINARIA 3kg ,Quilograma
33,33,DOCE DE LEITE DIET Leite de curral,UNIDADE
60,60,MUSS PALITO BJ  TEMP 300g ,Quilograma
63,63,QJ MEIA CURA PUROLEITE 500g ,Quilograma
210,210,"BISNAGA CABECA DANTA 1,8 PREMIUM",UNIDADE
221,221,REQUEIJAO PUROLEITE 500G RAPA,Quilograma
211,211,"BALDE CREAM CHEESE VEREDA 3,6g",UNIDADE
201,201,"BISNAGA FORNO E FOGAO CHEDDAR 1,2G -VEREDA",UNIDADE
80,80,QJ PARMESAO FRAÇÃO CRUZILIA 140g ,UNIDADE
122,122,PARMESAO G.D.E. 6 kg ,Quilograma
108,108,MUS BUFALA BARRA FATIAR PURINHO 3kg ,Quilograma
95,95,PROVOLONE PUROLEITE 500g ,Quilograma
65,65,REQUEIJAO PUROLEITE 500g ,Quilograma
157,157,DOCE DE LEITE PASTOSO 800G SOUVENIR ,UNIDADE
2,2,QJ MINAS AZUL 500g ,Quilograma
1,1,QJ MINAS CRUZ 500g ,Quilograma
218,218,TABLETE COCADINHA MORENA,UNIDADE
153,153,Qj minas Ildeu brandao ,Quilograma
